IP,domain,Protocol,Port,Status,Service
127.0.0.1,localhost,tcp,135,open,msrpc
127.0.0.1,localhost,tcp,443,open,https
127.0.0.1,localhost,tcp,445,open,microsoft-ds
127.0.0.1,localhost,tcp,902,open,iss-realsecure
127.0.0.1,localhost,tcp,912,open,apex-mesh
127.0.0.1,localhost,tcp,1309,open,jtag-server
127.0.0.1,localhost,tcp,2179,open,vmrdp
127.0.0.1,localhost,tcp,8000,open,http-alt
127.0.0.1,localhost,tcp,8081,open,blackice-icecap
127.0.0.1,localhost,tcp,8089,open,unknown
127.0.0.1,localhost,tcp,80,open,http
127.0.0.1,localhost,tcp,443,open,https
203.150.96.16,inetms.co.th,tcp,135,open,msrpc
203.150.96.16,inetms.co.th,tcp,443,open,https
203.150.96.16,inetms.co.th,tcp,445,open,microsoft-ds
203.150.96.16,inetms.co.th,tcp,902,open,iss-realsecure
203.150.96.16,inetms.co.th,tcp,912,open,apex-mesh
203.150.96.16,inetms.co.th,tcp,1309,open,jtag-server
203.150.96.16,inetms.co.th,tcp,2179,open,vmrdp
203.150.96.16,inetms.co.th,tcp,8000,open,http-alt
203.150.96.16,inetms.co.th,tcp,8081,open,blackice-icecap
203.150.96.16,inetms.co.th,tcp,8089,open,unknown
203.150.96.16,inetms.co.th,tcp,80,open,http
203.150.96.16,inetms.co.th,tcp,443,open,https
